target_id,primary_city,settlement_size_proxy,status,observed_count,observed_names,source,source_date,review_note
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print,2500_to_9999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-abiquiu-1b3d172ca0,Abiquiu,2500_to_9999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-abq-montano-annex-9cf889132d,ABQ Montano Annex,50000_plus,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-academy-9db4ff3c07,Academy,50000_plus,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-alamogordo-9f67bfb127,Alamogordo,10000_to_49999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-albuquerque-180e428b1f,Albuquerque,50000_plus,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-albuquerque-main-119c5a1e72,Albuquerque Main,50000_plus,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-alcalde-03e0de57d2,Alcalde,2500_to_9999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-algodones-9a77a84fb5,Algodones,50000_plus,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-alto-6a15c637ed,Alto,10000_to_49999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-amistad-85362cd08e,Amistad,2500_to_9999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
national-post-office-nm-animas-74cdba25e5,Animas,2500_to_9999,checked_absent,0,,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,"Local Geofabrik dollar_store sidecar; absence means no packet-ready named rows in target box, not complete local absence."
