target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-wy-airport-fcb22eb890,Airport,food_service,observed,93,"Accomplice Beer Company; Applebee's; Arby's; Barrett Creek Coffee; Bejo Sushi/Asian; Bella Fuoco Wood-Fired Pizza; Blackjack Pizza; Buffalo Wild Wings; Carl's Jr.; Central Cafe; Chick-fil-A; Chili's; China Buffet; Chipotle; Clean Eatz; Coffee Depot; Culver's; DQ Grill & Chill; Delectable Donuts; Dickey's Barbecue Pit; Domino's; Down Home Diner; Dunkin'; Epic Egg; Espi's Restaurant; Five Guys; Freddy's; Guadalajara; Hacienda Guadalajara; Hi Sushi; Hokkaido Ramen; Honolulu Poke & Ramen; Jacksons All American Sports Grill; Jersey Mike's Subs; Juicy's Burgers, Dogs, and More; KFC; Korean House Restaraunt; L'Osteria Mondello's; Little Caesars; McDonald's; Mongolian Grill; Nathaly’s Tacos y Papusas; Nay&Jays; Olive Garden; Outback Steakhouse; Panda Express; Panera Bread; Papa John's; Paramount Café; Paris West; Penny's Diner; Perkins; Pizza Hut; Qdoba; Red Lobster; Renzio's Greek Food; Rodolfo's Mexican; Rolando's Mexican Grill; Rubyjuice Fruit & Smoothies; Sanford's Grub & Pub; Sonic; Starbucks; Subway; TCBY Pretzel Maker; Taco Bell; Taco John's; Tacqueria Mexicana Mi Tierra; Texas Roadhouse; The Albany Restaurant, Bar and Liquor Mart; The Cheyenne Cup; The Metropolitan Downtown; The Office Bar and Grill; Tres Amigos; Tres Amigos (Dell Range); Two Doors Down; Village Inn; Wasabi's; Wendy's; Ziggi's Coffee",Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-wy-alpine-bd2d53e915,Alpine,food_service,observed,9,Bull Moose; Cheeseburger Factory; Driftwood Pizzeria; Flying Saddle; La Cabaña Del Tequila; Rivers Coffee Hours; Subway; Taco Bus; Yankee Doodle's Cafe,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-wy-auburn-0e0a391047,Auburn,food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-wy-beulah-02adcbe8f4,Beulah,food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-wy-big-horn-809ef111f7,Big Horn,food_service,observed,2,Big Horn Mercantile; Just LeDoux It Saloon,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-wy-boulder-wy-b9fd25d928,"Boulder, WY",food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-wy-buffalo-main-46c786b9c1,Buffalo Main,food_service,observed,9,Clear Creek Cantina; Domino's; Duffy's Bluff; Hardee's; Main Street Diner; McDonald's; Pizza Hut; Subway; The Bozeman Trail Steakhouse,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-wy-capitol-station-6ac1770321,Capitol Station,food_service,observed,100,"Accomplice Beer Company; Applebee's; Arby's; Barrett Creek Coffee; Bejo Sushi/Asian; Bella Fuoco Wood-Fired Pizza; Blackjack Pizza; Buffalo Wild Wings; Burger King; Cafe Deli; Carl's Jr.; Central Cafe; Chick-fil-A; Chili's; China Buffet; Chipotle; Clean Eatz; Coffee Depot; Culver's; DQ Grill & Chill; Delectable Donuts; Destination Taiwan; Dickey's Barbecue Pit; Domino's; Down Home Diner; Dunkin'; Epic Egg; Espi's Restaurant; Five Guys; Freddy's; Guadalajara; Hacienda Guadalajara; Hi Sushi; Hokkaido Ramen; Honolulu Poke & Ramen; Jersey Mike's Subs; Juicy's Burgers, Dogs, and More; KFC; Korean House Restaraunt; L'Osteria Mondello's; Little Caesars; McDonald's; Mongolian Grill; Nathaly’s Tacos y Papusas; Nay&Jays; Olive Garden; Outback Steakhouse; Panda Express; Panera Bread; Papa John's; Paramount Café; Paris West; Penny's Diner; Perkins; Pizza Hut; Qdoba; Red Lobster; Renzio's Greek Food; Rodolfo's Mexican; Rolando's Mexican Grill; Rubyjuice Fruit & Smoothies; Sanford's Grub & Pub; Sonic; Starbucks; Subway; TCBY Pretzel Maker; Taco Bell; Taco John's; Tacqueria Mexicana Mi Tierra; Talon's Table; Texas Roadhouse; The Albany Restaurant, Bar and Liquor Mart; The Cheyenne Cup; The Metropolitan Downtown; The Office Bar and Grill; Tres Amigos; Tres Amigos (Dell Range); Two Doors Down; Village Inn; Wasabi's; Wendy's; Ziggi's Coffee",Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-wy-carpenter-wy-f9563226fe,Carpenter WY,food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-wy-casper-2e4affc90a,Casper,food_service,observed,32,Arby's; Burger King; DQ Grill & Chill; Denny's; Domino's; El Burro Loco; Firehouse Pizza Wood Fired; Five Guys; HQ Southern BBQ; Jimmy John's; KFC; La Costa; McDonald's; Olive Garden; On The Border; Original Hamburger Stand; Outback Steakhouse; Papa John's; Papa Murphy's; Perkins; Pho Saigon; Pizza Ranch; Qdoba; Red Lobster; Sanford's Grub & Pub; Starbucks; Taco Bell; Texas Roadhouse; The Snack Shack; Village Inn; Wendy's,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
